"","show_id","type","title","director","cast","country","date_added","release_year","rating","duration","listed_in","description"
"3655",80167491,"Movie","Happy Hunting","Joe Dietsch, Louie Gibson","Martin Dingle-Wall, Ken Lally, Kenny Wormald, Connor Williams, Gary Sturm, C.J. Baker, Jeremy Lawson, Liesel Hanson, Kenneth Billings, Michael Tipps","United States","January 1, 2018",2017,"TV-MA","91 min","Horror Movies, Independent Movies","On the run from his meth-dealing employers, a drifter with a drinking problem becomes prey in a desert town's twisted hunting contest."
"3656",80206907,"Movie","Heartthrob","Chris Sivertson","Aubrey Peeples, Keir Gilchrist, Peter Facinelli, Felicity Price, Ione Skye, Jimmy Bennett, Taylor Dearden","United States","January 1, 2018",2017,"TV-MA","87 min","Thrillers","A shy, brilliant boy and a popular girl fall into an unexpected romance. But as their bond deepens, his attraction begins taking on dark overtones."
"3661",80228146,"Movie","Jora 10 Numbaria","Amardeep Singh Gill","Deep Sidhu, Dharmendra, Ashish Duggal, Aman Hundal, Pali Sidhu, Mukesh Tiwari, Mukul Dev","India","January 1, 2018",2017,"TV-MA","135 min","Action & Adventure, International Movies","The wounds of a traumatic childhood and a corrupt, unjust system push a young man into becoming a cold-blooded, ruthless gangster."
"3664",80221637,"Movie","Maacher Jhol","Pratim D. Gupta","Ritwick Chakraborty, Mamata Shankar, Paoli Dam, Kaya Blocksage, Sauraseni Maitra, Arjun Chakrabarty","India, France","January 1, 2018",2017,"TV-PG","107 min","Dramas, International Movies","On his first visit to his home city of Kolkata in 13 years, a Paris-based chef is faced with a cooking challenge that will change his life forever."
"3665",80197301,"Movie","Maddman: The Steve Madden Story","Ben Patterson","Steve Madden","United States","January 1, 2018",2017,"TV-MA","78 min","Documentaries","This documentary chronicles the rise of the footwear designer behind a billion-dollar empire and his subsequent comeback after a financial scandal."
"3667",80217436,"Movie","Martin Luther: The Idea that Changed the World","David Batty","Hugh Bonneville","United States","January 1, 2018",2017,"TV-PG","55 min","Documentaries, Faith & Spirituality","This docudrama tells the dramatic story of the monk who took on the Catholic Church, tracing his life before and after the contentious ""95 Theses."""
"3675",80196138,"Movie","Not Alone","Kiki Goshay, Jacqueline Monetta","","United States","January 1, 2018",2017,"TV-14","50 min","Documentaries","An 18-year-old struggling to understand her best friend's suicide talks to teenagers who have grappled with mental illness and suicidal thoughts."
"3676",80138615,"Movie","Now More Than Ever: The History of Chicago","Peter Pardini","Chicago","United States","January 1, 2018",2016,"TV-MA","114 min","Documentaries, Music & Musicals","This rockumentary tells the behind-the-scenes story of the Hall-of-Fame band Chicago, from their jazz-rock fusion roots to chart-topping pop hits."
"3678",80131236,"Movie","Planetarium","Rebecca Zlotowski","Natalie Portman, Lily-Rose Depp, Emmanuel Salinger, Amira Casar, Pierre Salvadori, Louis Garrel","France, Belgium","January 1, 2018",2016,"TV-MA","108 min","Dramas, International Movies","In pre-World War II France, two sisters purport to be able to communicate with the dead and soon catch the eye of an ambitious filmmaker."
"3680",80184547,"Movie","Residente","René Pérez Joglar","René Pérez Joglar","United States","January 1, 2018",2017,"TV-MA","97 min","Documentaries, Music & Musicals","The results of a DNA test spur Puerto Rican rap icon Residente to set out on a global voyage in search of his roots and fresh musical inspiration."
"3683",80184135,"Movie","Super Dark Times","Kevin Phillips","Owen Campbell, Charlie Tahan, Elizabeth Cappuccino, Max Talisman, Amy Hargreaves, Sawyer Barth, Adea Lennox, Ethan Botwick","United States","January 1, 2018",2017,"TV-MA","104 min","Dramas, Independent Movies, Thrillers","A tragic accident drives a wedge between two teenage boys, threatening a friendship that had seemed firm and unshakeable."
"3684",80139199,"Movie","The Age of Shadows","Jee-woon Kim","Kang-ho Song, Gong Yoo, Ji-min Han, Tae-goo Eom, Sung-rok Shin, Hee-soon Park, Young-ju Seo, Song Kang-ho","South Korea","January 1, 2018",2016,"TV-MA","140 min","Action & Adventure, Dramas, International Movies","Formerly a Korean resistance fighter, a policeman working for Japan is tasked with tracking down resistance leaders before they acquire explosives."
"3685",80208830,"Movie","The Arbitration","Niyi Akinmolayan","Adesua Etomi, O.C. Ukeje, Ireti Doyle, Sola Fosudo, Somkele Iyamah, Lota Chukwu, Gregory Ojefua, Beverly Naya, Bimbo Ademoye, Pius Fatoke","Nigeria","January 1, 2018",2016,"TV-MA","101 min","Dramas, International Movies","An arbitration panel is formed after a company CEO in Nigeria is sued for wrongful dismissal and rape by an employee with whom he had an affair."
"3687",80186459,"TV Show","The Frozen Dead","","Charles Berling, Julia Piaton, Pascal Greggory, Nina Meurisse, Lubna Azabal, Anne Le Ny, Robinson Stévenin, Robert Plagnol, Sophie Guillemin","France","January 1, 2018",2017,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas","A grisly find atop a mountain in the French Pyrenees leads investigator Martin Servaz into a twisted dance with a serial killer in this icy thriller."
"3688",80155790,"Movie","The Rehearsal","Alison MacLean","James Rolleston, Kerry Fox, Ella Edwards, Alice Englert","New Zealand","January 1, 2018",2016,"TV-MA","102 min","Dramas, Independent Movies, International Movies","A drama student is torn between creative possibility and ethical boundaries when his girlfriend's family gets caught up in a sex scandal."
"3690",80159566,"Movie","The Vault","Dan Bush","Taryn Manning, Francesca Eastwood, James Franco, Scott Haze, Q'Orianka Kilcher, Keith Loneker, Clifton Collins Jr., Jeff Gum","United States","January 1, 2018",2017,"TV-MA","92 min","Horror Movies, Thrillers","A bank heist takes an unnerving turn when the three sibling robbers attempt to gain entrance into an subterranean vault with sinister secrets."
"3692",80217857,"Movie","Treasures from the Wreck of the Unbelievable","Sam Hobkinson","","United Kingdom","January 1, 2018",2017,"TV-G","82 min","Documentaries, Dramas, International Movies","This cinematic journey into the waters off East Africa chronicles the story behind artist Damien Hirst's massive exhibition of oceanic treasures."
"3693",80194813,"TV Show","We Speak Dance","","Vandana Hart","United States","January 1, 2018",2018,"TV-14","1 Season","Docuseries","Trained dancer Vandana Hart travels the world to learn traditional and urban dance styles from the local experts who know them best."
"3698",80154688,"Movie","Autohead","Rohit Mittal","Deepak Sampat, Ronjini Chakroborty, Vikrant Singh, Jhanvi Dwivedi, Ajay Mishra, Rohit Mittal, Sunny Banerjee, Ravidev Singh","India","January 1, 2017",2016,"TV-MA","97 min","Dramas, International Movies, Thrillers","A production crew that thinks it's making a documentary about a humble Mumbai rickshaw driver unmasks a horrifying truth about their film's subject."
"3703",80117742,"Movie","Hurricane Bianca","Matt Kugelman","Roy Haylock, Bianca Leigh, Denton Blane Everett, Willam Belli, D.J. ""Shangela"" Pierce, Justin ""Alyssa Edwards"" Johnson, Molly Ryman, Ted Ferguson, Rachel Dratch, Alan Cumming, Margaret Cho, RuPaul","United States","January 1, 2017",2016,"TV-MA","85 min","Comedies, Independent Movies, LGBTQ Movies","Fired for being gay, schoolteacher Richard returns in drag as force-of-nature Bianca, gets hired for the same job and plots sweet, scornful revenge."
"3706",80152741,"Movie","Saheb Bibi Golaam","Pratim D. Gupta","Anjan Dutt, Swastika Mukherjee, Ritwick Chakraborty, Parno Mittra, Bikram Chatterjee, Sohag Sen, Sumanta Mukherjee, Arun Mukhopadhyay","India","January 1, 2017",2016,"TV-MA","118 min","Dramas, International Movies","A charming cabbie, a cop turned assassin and a housewife who’s also a hooker share one thing in common: a bizarre and violent afternoon in Kolkata."
"3707",80097375,"Movie","The Land of the Enlightened","Pieter-Jan De Pue","Sohrab Nazari","Belgium, Ireland, Netherlands, Germany, Afghanistan","January 1, 2017",2016,"TV-MA","84 min","Documentaries, International Movies","In the rugged mountains of Afghanistan, armed bands of young boys survive by scavenging for old land mines, mining lapis lazuli and trading in opium."
"3709",80144141,"Movie","To Be a Miss","Edward Ellis, Flor Salcedo, Aaron Woolf","","United States, Venezuela","January 1, 2017",2016,"TV-14","84 min","Documentaries","Explore how the media and nationalism have fueled Venezuela's passion for physical appearance and the multibillion-dollar beauty pageant industry."
"3710",80118002,"Movie","Udta Punjab","Abhishek Chaubey","Shahid Kapoor, Kareena Kapoor, Alia Bhatt, Diljit Dosanjh, Satish Kaushik, Suhail Nayyar, Prabhjyot Singh, Harpreet Singh, Manav Vij, Taran Bajaj","India","January 1, 2017",2016,"TV-MA","146 min","Dramas, International Movies","Drug abuse and the darker side of Punjab rear their heads in the intense, interwoven tales of a cop, a doctor, a migrant worker and a rock star."
"3744",80131616,"Movie","God Bless the Broken Road","Harold Cronk","Patrika Darbo, Kim Delaney, Jordin Sparks, Makenzie Moss, Liam Matthews, Andrew W. Walker, Lindsay Pulsipher, Gary Grubbs, Robin Givens, Arthur Cartwright","United States","February 9, 2019",2018,"PG","111 min","Children & Family Movies, Dramas, Faith & Spirituality","After a young mother is widowed by war, her faith is tested as she struggles to stay afloat financially and raise her daughter."
"3745",81020653,"TV Show","Iron Ladies","","Aviis Zhong, Ben Wu, Ada Pan, Jacqueline Zhu, Gabriel Lan, Jack Lee, Wu Ting-chien, Wills Sia, Su Yen-ti, Jenny Huang","Taiwan","February 9, 2019",2018,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Dramas","Three 30-something women in high-level jobs at a beauty e-commerce firm seem to have it all – except when it comes to love and romantic chemistry."
"3746",80174367,"Movie","Seeing Allred","Roberta Grossman, Sophie Sartain","Gloria Allred","United States","February 9, 2018",2018,"TV-14","96 min","Documentaries","Explore the public and private sides of feminist firebrand attorney Gloria Allred, who's battled some of the biggest names in politics and business."
"3747",80217312,"Movie","The Ritual","David Bruckner","Rafe Spall, Arsher Ali, Robert James-Collier, Sam Troughton","United Kingdom, Canada","February 9, 2018",2018,"TV-MA","95 min","Horror Movies, International Movies, Thrillers","Four friends with a long-standing – but strained – connection take a hiking trip into the Swedish wilderness, from which they may never return."
"3748",80209006,"Movie","The Trader (Sovdagari)","Tamta Gabrichidze","","Georgia","February 9, 2018",2018,"TV-PG","24 min","Documentaries, International Movies","A traveling trader provides a window into rural life in the Republic of Georgia, where potatoes are currency and ambition is crushed by poverty."
"3749",80220692,"TV Show","Tientsin Mystic","","Li Xian, Zhang Ming En, Wang Zixuan, Chen Yumi, Tang Yinuo, Wei Qing, Yang Shuming, Chen Jian, Kang Enhe, Dong Xiangrong","China","February 9, 2018",2017,"TV-14","1 Season","Crime TV Shows, International TV Shows, TV Dramas","In an otherworldly river town, a policeman follows the trail of a sinister force to save his community from deadly spells."
"3750",80117531,"Movie","When We First Met","Ari Sandel","Adam DeVine, Alexandra Daddario, Shelley Hennig, Robbie Amell, Andrew Bachelor","United States","February 9, 2018",2018,"TV-14","97 min","Comedies, Romantic Movies","Using a magical photo booth that sends him back in time, Noah relives the night he met Avery over and over, trying to persuade her to fall for him."
"3751",80153131,"Movie","Don't Knock Twice","Caradog W. James","Katee Sackhoff, Lucy Boynton, Richard Mylan, Nick Moran, Pascale Wilson, Javier Botet, Pooneh Hajimohammadi, Sarah Buckland","United Kingdom","February 8, 2019",2016,"R","93 min","Horror Movies, International Movies","A recovering addict becomes her estranged daughter's only hope after the teen awakens a terrifying child-stealing witch from an urban legend."
"3752",80991400,"Movie","High Flying Bird","Steven Soderbergh","André Holland, Zazie Beetz, Bill Duke, Kyle MacLachlan, Melvin Gregg, Sonja Sohn, Zachary Quinto","United States","February 8, 2019",2019,"TV-MA","91 min","Dramas, Sports Movies","When an NBA lockout sidelines his big rookie client, an agent hatches a bold plan to save their careers – and disrupt the league's power structure."
"3753",81059388,"Movie","Incredibles 2 (Spanish Version)","Brad Bird","Víctor Trujillo, Consuelo Duval, Darío T. Pie, Leyla Rangel, Oliver Díaz Barba, Dulce Guerrero, Eli Fucile, Martin Hernandez","United States","February 8, 2019",2018,"PG","118 min","Children & Family Movies, Comedies","When Elastigirl gets recruited for a high-profile crime-fighting mission, Mr. Incredible takes on his toughest assignment ever: full-time parenting."
"3754",80231156,"Movie","Kevin Hart's Guide to Black History","Tom Stern","Kevin Hart, Saniyya Sidney, Lil Rel Howery, Eoghan Thomas Murphy, Tiffany Haddish, Al Shearer, Lonnie Chavis, Alphonso Mcauley, Nika Williams, Barry Brewer, Greg Germann, John Ennis, Jay Johnston","United States","February 8, 2019",2019,"TV-PG","63 min","Children & Family Movies, Comedies","Kevin Hart highlights the fascinating contributions of black history’s unsung heroes in this entertaining – and educational – comedy special."
"3755",81002145,"TV Show","Nailed It! Mexico","","Omar Chaparro, Anna Ruiz","United States, Mexico","February 8, 2019",2019,"TV-PG","1 Season","International TV Shows, Reality TV, Spanish-Language TV Shows","The fun, fondant and hilarious cake fails head to Mexico, where very amateur bakers compete to re-create elaborate sweet treats for a cash prize."
"3756",80191045,"Movie","ReMastered: The Two Killings of Sam Cooke","Kelly Duane de la Vega","Sam Cooke","United States","February 8, 2019",2019,"TV-MA","74 min","Documentaries, Music & Musicals","While Sam Cooke rose to stardom as a soul singer, his outspoken views on civil rights drew attention that may have contributed to his death at age 33."
"3757",81029383,"Movie","The Tree of Blood","Julio Medem","Úrsula Corberó, Álvaro Cervantes, Najwa Nimri, Patricia López Arnaiz, Daniel Grao, Joaquín Furriel, Maria Molins, Emilio Gutiérrez Caba, Luisa Gavasa, José María Pou, Ángela Molina","Spain","February 8, 2019",2018,"TV-MA","136 min","Dramas, Independent Movies, International Movies","As a young couple write the story of their families' shared history, both reveal their relatives' dark secrets and one must make a painful confession."
